Causas (lista reducida);Sexo;Edad;Total
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 35 a 39 años;4
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 40 a 44 años;4
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 45 a 49 años;10
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 50 a 54 años;16
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 55 a 59 años;19
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 60 a 64 años;20
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 65 a 69 años;36
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 70 a 74 años;31
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 75 a 79 años;42
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 80 a 84 años;43
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 85 a 89 años;26
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 90 a 94 años;13
034 Otros tumores malignos neurológicos y endocrinos;Hombres;De 95 años y más;1
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;Todas las edades;368
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;Menores de 1 año;0
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 1 a 4 años;4
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 5 a 9 años;6
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 10 a 14 años;1
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 15 a 19 años;0
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 20 a 24 años;2
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 25 a 29 años;2
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 30 a 34 años;0
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 35 a 39 años;5
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 40 a 44 años;6
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 45 a 49 años;7
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 50 a 54 años;25
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 55 a 59 años;18
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 60 a 64 años;24
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 65 a 69 años;28
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 70 a 74 años;33
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 75 a 79 años;51
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 80 a 84 años;60
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 85 a 89 años;57
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 90 a 94 años;30
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;De 95 años y más;9
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;Todas las edades;4.734
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;Menores de 1 año;1
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 1 a 4 años;3
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 5 a 9 años;0
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 10 a 14 años;2
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 15 a 19 años;2
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 20 a 24 años;3
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 25 a 29 años;2
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 30 a 34 años;5
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 35 a 39 años;17
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 40 a 44 años;40
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 45 a 49 años;73
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 50 a 54 años;158
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 55 a 59 años;263
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 60 a 64 años;396
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 65 a 69 años;447
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 70 a 74 años;528
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 75 a 79 años;572
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 80 a 84 años;710
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 85 a 89 años;812
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 90 a 94 años;520
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;De 95 años y más;180
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Todas las edades;2.565
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Menores de 1 año;0
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 1 a 4 años;0
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 5 a 9 años;0
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 10 a 14 años;2
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 15 a 19 años;2
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 20 a 24 años;2
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 25 a 29 años;1
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 30 a 34 años;1
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 35 a 39 años;9
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 40 a 44 años;23
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 45 a 49 años;43
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 50 a 54 años;97
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 55 a 59 años;164
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 60 a 64 años;261
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 65 a 69 años;296
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 70 a 74 años;339
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 75 a 79 años;341
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 80 a 84 años;373
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 85 a 89 años;361
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 90 a 94 años;205
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;De 95 años y más;45
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;Todas las edades;2.169
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;Menores de 1 año;1
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 1 a 4 años;3
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 5 a 9 años;0
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 10 a 14 años;0
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 15 a 19 años;0
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 20 a 24 años;1
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 25 a 29 años;1
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 30 a 34 años;4
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 35 a 39 años;8
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 40 a 44 años;17
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 45 a 49 años;30
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 50 a 54 años;61
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 55 a 59 años;99
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 60 a 64 años;135
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 65 a 69 años;151
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 70 a 74 años;189
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 75 a 79 años;231
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 80 a 84 años;337
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 85 a 89 años;451
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 90 a 94 años;315
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;De 95 años y más;135
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;Todas las edades;5.011
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;Menores de 1 año;0
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 1 a 4 años;0
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 5 a 9 años;2
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 10 a 14 años;4
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 15 a 19 años;8
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 20 a 24 años;9
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 25 a 29 años;10
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 30 a 34 años;15
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 35 a 39 años;26
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 40 a 44 años;41
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 45 a 49 años;93
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 50 a 54 años;137
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 55 a 59 años;221
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 60 a 64 años;320
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 65 a 69 años;456
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 70 a 74 años;609
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 75 a 79 años;835
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 80 a 84 años;913
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 85 a 89 años;872
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 90 a 94 años;361
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;De 95 años y más;79
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Todas las edades;2.733
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Menores de 1 año;0
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 1 a 4 años;0
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 5 a 9 años;2
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 10 a 14 años;3
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 15 a 19 años;4
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 20 a 24 años;6
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 25 a 29 años;1
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 30 a 34 años;10
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 35 a 39 años;9
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 40 a 44 años;23
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 45 a 49 años;61
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 50 a 54 años;96
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 55 a 59 años;145
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 60 a 64 años;202
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 65 a 69 años;283
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 70 a 74 años;354
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 75 a 79 años;483
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 80 a 84 años;463
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 85 a 89 años;404
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 90 a 94 años;154
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;De 95 años y más;30
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;Todas las edades;2.278
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;Menores de 1 año;0
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 1 a 4 años;0
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 5 a 9 años;0
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 10 a 14 años;1
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 15 a 19 años;4
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 20 a 24 años;3
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 25 a 29 años;9
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 30 a 34 años;5
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 35 a 39 años;17
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 40 a 44 años;18
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 45 a 49 años;32
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 50 a 54 años;41
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 55 a 59 años;76
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 60 a 64 años;118
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 65 a 69 años;173
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 70 a 74 años;255
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 75 a 79 años;352
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 80 a 84 años;450
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 85 a 89 años;468
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 90 a 94 años;207
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;De 95 años y más;49
037 Leucemia;Ambos sexos;Todas las edades;3.363
037 Leucemia;Ambos sexos;Menores de 1 año;2
037 Leucemia;Ambos sexos;De 1 a 4 años;15
037 Leucemia;Ambos sexos;De 5 a 9 años;14
037 Leucemia;Ambos sexos;De 10 a 14 años;17
037 Leucemia;Ambos sexos;De 15 a 19 años;16
037 Leucemia;Ambos sexos;De 20 a 24 años;23
037 Leucemia;Ambos sexos;De 25 a 29 años;21
037 Leucemia;Ambos sexos;De 30 a 34 años;22
037 Leucemia;Ambos sexos;De 35 a 39 años;27
037 Leucemia;Ambos sexos;De 40 a 44 años;46
037 Leucemia;Ambos sexos;De 45 a 49 años;59
037 Leucemia;Ambos sexos;De 50 a 54 años;81
037 Leucemia;Ambos sexos;De 55 a 59 años;93
037 Leucemia;Ambos sexos;De 60 a 64 años;170
037 Leucemia;Ambos sexos;De 65 a 69 años;250
037 Leucemia;Ambos sexos;De 70 a 74 años;445
037 Leucemia;Ambos sexos;De 75 a 79 años;506
037 Leucemia;Ambos sexos;De 80 a 84 años;562
037 Leucemia;Ambos sexos;De 85 a 89 años;605
037 Leucemia;Ambos sexos;De 90 a 94 años;311
037 Leucemia;Ambos sexos;De 95 años y más;78
037 Leucemia;Hombres;Todas las edades;1.902
037 Leucemia;Hombres;Menores de 1 año;1
037 Leucemia;Hombres;De 1 a 4 años;12
037 Leucemia;Hombres;De 5 a 9 años;5
037 Leucemia;Hombres;De 10 a 14 años;8
037 Leucemia;Hombres;De 15 a 19 años;4
037 Leucemia;Hombres;De 20 a 24 años;17
037 Leucemia;Hombres;De 25 a 29 años;13
037 Leucemia;Hombres;De 30 a 34 años;13
037 Leucemia;Hombres;De 35 a 39 años;16
037 Leucemia;Hombres;De 40 a 44 años;23
037 Leucemia;Hombres;De 45 a 49 años;32
037 Leucemia;Hombres;De 50 a 54 años;41
037 Leucemia;Hombres;De 55 a 59 años;55
037 Leucemia;Hombres;De 60 a 64 años;112
037 Leucemia;Hombres;De 65 a 69 años;160
037 Leucemia;Hombres;De 70 a 74 años;271
037 Leucemia;Hombres;De 75 a 79 años;308
037 Leucemia;Hombres;De 80 a 84 años;318
037 Leucemia;Hombres;De 85 a 89 años;314
037 Leucemia;Hombres;De 90 a 94 años;145
037 Leucemia;Hombres;De 95 años y más;34
037 Leucemia;Mujeres;Todas las edades;1.461
037 Leucemia;Mujeres;Menores de 1 año;1
037 Leucemia;Mujeres;De 1 a 4 años;3
037 Leucemia;Mujeres;De 5 a 9 años;9
037 Leucemia;Mujeres;De 10 a 14 años;9
037 Leucemia;Mujeres;De 15 a 19 años;12
037 Leucemia;Mujeres;De 20 a 24 años;6
037 Leucemia;Mujeres;De 25 a 29 años;8
037 Leucemia;Mujeres;De 30 a 34 años;9
037 Leucemia;Mujeres;De 35 a 39 años;11
037 Leucemia;Mujeres;De 40 a 44 años;23
037 Leucemia;Mujeres;De 45 a 49 años;27
037 Leucemia;Mujeres;De 50 a 54 años;40
037 Leucemia;Mujeres;De 55 a 59 años;38
037 Leucemia;Mujeres;De 60 a 64 años;58
037 Leucemia;Mujeres;De 65 a 69 años;90
037 Leucemia;Mujeres;De 70 a 74 años;174
037 Leucemia;Mujeres;De 75 a 79 años;198
037 Leucemia;Mujeres;De 80 a 84 años;244
037 Leucemia;Mujeres;De 85 a 89 años;291
037 Leucemia;Mujeres;De 90 a 94 años;166
037 Leucemia;Mujeres;De 95 años y más;44
038 Tumores in situ;Ambos sexos;Todas las edades;13
038 Tumores in situ;Ambos sexos;Menores de 1 año;0
038 Tumores in situ;Ambos sexos;De 1 a 4 años;0
038 Tumores in situ;Ambos sexos;De 5 a 9 años;0
038 Tumores in situ;Ambos sexos;De 10 a 14 años;0
038 Tumores in situ;Ambos sexos;De 15 a 19 años;0
038 Tumores in situ;Ambos sexos;De 20 a 24 años;0
038 Tumores in situ;Ambos sexos;De 25 a 29 años;0
038 Tumores in situ;Ambos sexos;De 30 a 34 años;0
038 Tumores in situ;Ambos sexos;De 35 a 39 años;0
038 Tumores in situ;Ambos sexos;De 40 a 44 años;0
038 Tumores in situ;Ambos sexos;De 45 a 49 años;0
038 Tumores in situ;Ambos sexos;De 50 a 54 años;0
038 Tumores in situ;Ambos sexos;De 55 a 59 años;0
038 Tumores in situ;Ambos sexos;De 60 a 64 años;0
038 Tumores in situ;Ambos sexos;De 65 a 69 años;0
038 Tumores in situ;Ambos sexos;De 70 a 74 años;0
038 Tumores in situ;Ambos sexos;De 75 a 79 años;2
038 Tumores in situ;Ambos sexos;De 80 a 84 años;2
038 Tumores in situ;Ambos sexos;De 85 a 89 años;3
038 Tumores in situ;Ambos sexos;De 90 a 94 años;4
038 Tumores in situ;Ambos sexos;De 95 años y más;2
038 Tumores in situ;Hombres;Todas las edades;8
038 Tumores in situ;Hombres;Menores de 1 año;0
038 Tumores in situ;Hombres;De 1 a 4 años;0
038 Tumores in situ;Hombres;De 5 a 9 años;0
038 Tumores in situ;Hombres;De 10 a 14 años;0
038 Tumores in situ;Hombres;De 15 a 19 años;0
038 Tumores in situ;Hombres;De 20 a 24 años;0
038 Tumores in situ;Hombres;De 25 a 29 años;0
038 Tumores in situ;Hombres;De 30 a 34 años;0
038 Tumores in situ;Hombres;De 35 a 39 años;0
038 Tumores in situ;Hombres;De 40 a 44 años;0
038 Tumores in situ;Hombres;De 45 a 49 años;0
038 Tumores in situ;Hombres;De 50 a 54 años;0
038 Tumores in situ;Hombres;De 55 a 59 años;0
038 Tumores in situ;Hombres;De 60 a 64 años;0
038 Tumores in situ;Hombres;De 65 a 69 años;0
038 Tumores in situ;Hombres;De 70 a 74 años;0
038 Tumores in situ;Hombres;De 75 a 79 años;2
038 Tumores in situ;Hombres;De 80 a 84 años;1
038 Tumores in situ;Hombres;De 85 a 89 años;3
038 Tumores in situ;Hombres;De 90 a 94 años;1
038 Tumores in situ;Hombres;De 95 años y más;1
038 Tumores in situ;Mujeres;Todas las edades;5
038 Tumores in situ;Mujeres;Menores de 1 año;0
038 Tumores in situ;Mujeres;De 1 a 4 años;0
038 Tumores in situ;Mujeres;De 5 a 9 años;0
038 Tumores in situ;Mujeres;De 10 a 14 años;0
038 Tumores in situ;Mujeres;De 15 a 19 años;0
038 Tumores in situ;Mujeres;De 20 a 24 años;0
038 Tumores in situ;Mujeres;De 25 a 29 años;0
038 Tumores in situ;Mujeres;De 30 a 34 años;0
038 Tumores in situ;Mujeres;De 35 a 39 años;0
038 Tumores in situ;Mujeres;De 40 a 44 años;0
038 Tumores in situ;Mujeres;De 45 a 49 años;0
038 Tumores in situ;Mujeres;De 50 a 54 años;0
038 Tumores in situ;Mujeres;De 55 a 59 años;0
038 Tumores in situ;Mujeres;De 60 a 64 años;0
038 Tumores in situ;Mujeres;De 65 a 69 años;0
038 Tumores in situ;Mujeres;De 70 a 74 años;0
038 Tumores in situ;Mujeres;De 75 a 79 años;0
038 Tumores in situ;Mujeres;De 80 a 84 años;1
038 Tumores in situ;Mujeres;De 85 a 89 años;0
038 Tumores in situ;Mujeres;De 90 a 94 años;3
038 Tumores in situ;Mujeres;De 95 años y más;1
039 Tumores benignos;Ambos sexos;Todas las edades;593
039 Tumores benignos;Ambos sexos;Menores de 1 año;0
039 Tumores benignos;Ambos sexos;De 1 a 4 años;0
039 Tumores benignos;Ambos sexos;De 5 a 9 años;0
039 Tumores benignos;Ambos sexos;De 10 a 14 años;1
039 Tumores benignos;Ambos sexos;De 15 a 19 años;0
039 Tumores benignos;Ambos sexos;De 20 a 24 años;1
039 Tumores benignos;Ambos sexos;De 25 a 29 años;1
039 Tumores benignos;Ambos sexos;De 30 a 34 años;1
039 Tumores benignos;Ambos sexos;De 35 a 39 años;3
039 Tumores benignos;Ambos sexos;De 40 a 44 años;3
039 Tumores benignos;Ambos sexos;De 45 a 49 años;10
039 Tumores benignos;Ambos sexos;De 50 a 54 años;14
039 Tumores benignos;Ambos sexos;De 55 a 59 años;18
039 Tumores benignos;Ambos sexos;De 60 a 64 años;30
039 Tumores benignos;Ambos sexos;De 65 a 69 años;31
039 Tumores benignos;Ambos sexos;De 70 a 74 años;64
039 Tumores benignos;Ambos sexos;De 75 a 79 años;78
039 Tumores benignos;Ambos sexos;De 80 a 84 años;102
039 Tumores benignos;Ambos sexos;De 85 a 89 años;139
039 Tumores benignos;Ambos sexos;De 90 a 94 años;64
039 Tumores benignos;Ambos sexos;De 95 años y más;33
039 Tumores benignos;Hombres;Todas las edades;267
039 Tumores benignos;Hombres;Menores de 1 año;0
039 Tumores benignos;Hombres;De 1 a 4 años;0
039 Tumores benignos;Hombres;De 5 a 9 años;0
039 Tumores benignos;Hombres;De 10 a 14 años;1
039 Tumores benignos;Hombres;De 15 a 19 años;0
039 Tumores benignos;Hombres;De 20 a 24 años;0
039 Tumores benignos;Hombres;De 25 a 29 años;1
039 Tumores benignos;Hombres;De 30 a 34 años;1
039 Tumores benignos;Hombres;De 35 a 39 años;1
039 Tumores benignos;Hombres;De 40 a 44 años;2
039 Tumores benignos;Hombres;De 45 a 49 años;3
039 Tumores benignos;Hombres;De 50 a 54 años;6
039 Tumores benignos;Hombres;De 55 a 59 años;11
039 Tumores benignos;Hombres;De 60 a 64 años;13
039 Tumores benignos;Hombres;De 65 a 69 años;14
039 Tumores benignos;Hombres;De 70 a 74 años;29
039 Tumores benignos;Hombres;De 75 a 79 años;36
039 Tumores benignos;Hombres;De 80 a 84 años;42
039 Tumores benignos;Hombres;De 85 a 89 años;57
039 Tumores benignos;Hombres;De 90 a 94 años;30
039 Tumores benignos;Hombres;De 95 años y más;20
039 Tumores benignos;Mujeres;Todas las edades;326
039 Tumores benignos;Mujeres;Menores de 1 año;0
